10	44.9	1610	9.44	7.58	56.2
28	48.6	9930	4.49	6.55	76.3
38.4	31.4	12900	16.1	4.17	76.5
62.3	42.9	5900	22.4	2.85	60.1
45.5	58.9	19100	1.44	6.03	76.8
18.9	16	18700	20.9	8.1	75.8
20.8	45.3	6700	7.77	4.4	73.3
19.8	20.9	41400	1.16	8.73	82
51.3	47.8	43200	0.873	11	80.5
54.3	20.7	16000	13.8	5.88	69.1
35	43.7	22900	-0.393	7.89	73.8
69.5	50.9	41100	7.44	4.97	76
16	21.8	2440	7.14	3.52	70.4
39.5	48.7	15300	0.321	7.97	76.7
51.4	64.5	16200	15.1	5.61	70.4
76.4	74.7	41100	1.88	10.7	80
58.2	57.5	7880	1.14	5.2	71.4
23.8	37.2	1820	0.885	4.1	61.8
42.5	70.7	6420	5.99	5.2	72.1
41.2	34.3	5410	8.78	4.84	71.6
29.7	51.3	9720	1.4	11.1	76.8
43.6	51.3	13300	8.92	8.3	57.1
10.7	11.8	14500	8.41	9.01	74.2
67.4	28	80600	16.7	2.84	77.1
50.2	53	15300	1.11	6.87	73.9
19.2	29.6	1430	6.81	6.74	57.9
8.92	39.2	764	12.3	11.6	57.7
54.1	59.5	2520	3.12	5.68	66.1
22.2	27	2660	1.91	5.13	57.3
29.1	31	40700	2.87	11.3	81.3
32.7	61.8	5830	0.505	4.09	72.5
11.8	26.5	888	2.01	3.98	47.5
36.8	43.5	1930	6.39	4.53	56.5
37.7	31.3	19400	8.96	7.96	79.1
26.3	22.6	9530	6.94	5.07	74.6
15.9	17.8	10900	3.86	7.59	76.4
16.5	51.7	1410	3.87	4.51	65.9
41.1	49.6	609	20.8	7.91	57.5
85.1	54.7	5190	20.7	2.46	60.4
33.2	35	13000	6.57	10.9	80.4
50.6	43.3	2690	5.39	5.3	56.3
37.6	38.1	20100	0.821	7.76	76.3
50.2	57.5	33900	2.01	5.97	79.9
66	62.9	28300	-1.43	7.88	77.5
50.5	43.6	44000	3.22	11.4	79.5
22.7	33.3	11100	5.44	6.22	74.6
27.9	32.4	9350	7.47	8.06	76.7
21.3	26.6	9860	10.1	4.66	70.5
26.9	46.6	7300	2.65	6.91	74.1
85.8	58.9	33700	24.9	4.48	60.9
4.79	23.3	1420	11.6	2.66	61.7
75.1	68.7	22700	1.74	6.03	76
57.8	63.9	7350	4.23	4.86	65.3
38.7	37.4	39800	0.351	8.95	80
26.8	28.1	36900	1.05	11.9	81.4
57.7	18.9	15400	16.6	3.5	62.9
23.8	42.7	1660	4.3	5.69	65.5
35	52.8	6730	8.55	10.1	72.8
42.3	37.1	40400	0.758	11.6	80.1
